City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Jinchang,CN,38.4953,102.1739,69.89,13,0,1.3,clear sky
322,Teeli,RU,51.0333,90.2333,62.17,70,80,1.12,broken clouds
323,Abatskoye,RU,56.2875,70.4555,49.84,94,100,9.35,overcast clouds
324,Cayenne,GF,4.9333,-52.3333,82.09,1,0,5.75,clear sky
325,Belorechensk,RU,44.76,39.87,60.94,95,60,3.04,broken clouds
326,Shirokiy,RU,49.758,129.523,66.81,82,97,7.27,overcast clouds
327,Constitucion,CL,-35.3333,-72.4167,53.44,87,100,7.38,overcast clouds
328,Druskininkai,LT,54.0167,23.9667,49.5,93,7,8.72,clear sky
329,Tagusao,PH,9.1924,117.8141,80.62,80,94,5.88,overcast clouds
330,Thanh Hoa,VN,19.8,105.7667,75.97,97,100,3.89,light rain
331,Fairbanks,US,64.8378,-147.7164,70.02,46,75,8.05,smoke
332,Padilla,CO,3.2204,-76.3139,74.77,89,66,0.87,broken clouds
333,Samarai,PG,-10.6167,150.6667,82.11,79,75,12.48,broken clouds
334,Lorengau,PG,-2.0226,147.2712,83.53,69,31,8.9,scattered clouds
335,Borovoy,RU,55.4333,86.0833,61.88,94,40,4.47,light intensity shower rain
336,Mercedes,AR,-34.6515,-59.4307,51.85,67,100,7.31,overcast clouds
337,Cockburn Town,TC,21.4612,-71.1419,80.53,81,81,20.18,broken clouds
338,Kodiak,US,57.79,-152.4072,51.31,87,100,14.97,mist
339,Hammerfest,NO,70.6634,23.6821,41.45,81,75,8.05,broken clouds
340,Lampa,CL,-33.2833,-70.9,53.96,66,40,2.3,haze
341,Katangli,RU,51.7102,143.2326,61.74,70,81,10.22,broken clouds
342,Yuzhne,UA,46.6221,31.1013,62.71,63,25,13.53,scattered clouds
